"Uddannelsessted","url","Valgt","Nummer","Uni","Region","Startdato","Afdeling","Speciale","Uddannelsessted2","Afdeling2","Speciale2","id","Runde","Rundestart","lon","lat"
"Amager Hospital","https://www.basislaege.dk/Ajax_get2010v2.asp","12. apr 10:03",13,"KU","Hovedst.",2010-09-01,"Medicinsk afdeling","Intern medicin","Kristine Engell-Kofoed","Almen praksis","Almen medicin",NA,"Efterår 10",2010-08-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2011v1.asp","13. okt 10:30",161,"AU","Hovedst.",2011-04-01,"Medicinsk afdeling","Intern medicin","Psykiatrisk Center Amager","Psykiatrisk afdeling","Psykiatri",NA,"Forår 11",2011-02-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2012v2.asp","12. apr 10:40",149,"KU","Hovedst.",2012-10-01,"Medicinsk afdeling","Intern medicin","Psykiatrisk Center Amager","Psykiatrisk afdeling","Psykiatri",NA,"Efterår 12",2012-08-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2015v2.asp","14. apr 08:34",55,"KU","Hovedst.",2015-11-01,"Medicinsk afdeling","Intern medicin","Peter Navrbjerg & Marianne Nexmann","Almen praksis","Almen medicin",NA,"Efterår 15",2015-08-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2011v2.asp","12. apr 16:32",126,"KU","Hovedst.",2011-10-01,"Medicinsk afdeling","Intern medicin","Psykiatrisk Center Amager","Psykiatrisk afdeling","Psykiatri",NA,"Efterår 11",2011-08-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2011v1.asp","13. okt 09:51",157,"KU","Hovedst.",2011-04-01,"Medicinsk afdeling","Intern medicin","Psykiatrisk Center Amager","Psykiatrisk afdeling","Psykiatri",NA,"Forår 11",2011-02-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2012v2.asp","10. apr 14:51",20,"KU","Hovedst.",2012-08-01,"Medicinsk afdeling","Intern medicin","Lisbeth Bonde","Almen praksis","Almen medicin",NA,"Efterår 12",2012-08-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2012v2.asp","10. apr 13:50",14,"KU","Hovedst.",2012-09-01,"Medicinsk afdeling","Intern medicin","Jørgen Lykke & Tore Tveit Knudsen","Almen praksis","Almen medicin",NA,"Efterår 12",2012-08-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2016v1.asp","5. okt 19:40",43,"KU","Hovedst.",2016-03-01,"Medicinsk afdeling","Intern medicin","Karen Margrethe Primdahl Nissen","Almen praksis","Almen medicin",NA,"Forår 16",2016-02-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2011v1.asp","11. okt 11:10",20,"KU","Hovedst.",2011-03-01,"Medicinsk afdeling","Intern medicin","S. Rosenberg Adamsen & A. Lemche","Almen praksis","Almen medicin",NA,"Forår 11",2011-02-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2013v2.asp","2. apr 19:32",42,"SDU","Hovedst.",2013-10-01,"Medicinsk afdeling","Intern medicin","Thomas Rasmussen","Almen praksis","Almen medicin",NA,"Efterår 13",2013-08-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2011v2.asp","8. apr 09:00",0,"KU","Hovedst.",2011-09-01,"Medicinsk afdeling","Intern medicin","S. Rosenberg Adamsen & A. Lemche","Almen praksis","Almen medicin",NA,"Efterår 11",2011-08-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2011v1.asp","11. okt 13:40",34,"KU","Hovedst.",2011-03-01,"Medicinsk afdeling","Intern medicin","Lisbeth Bonde","Almen praksis","Almen medicin",NA,"Forår 11",2011-02-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2011v1.asp","11. okt 15:01",41,"KU","Hovedst.",2011-02-01,"Medicinsk afdeling","Intern medicin","Annette Kristjansen","Almen praksis","Almen medicin",NA,"Forår 11",2011-02-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2016v1.asp","5. okt 17:10",28,"AU","Hovedst.",2016-02-01,"Medicinsk afdeling","Intern medicin","Familielægerne Valby","Almen praksis","Almen medicin",NA,"Forår 16",2016-02-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2014v2.asp","7. apr 08:49",6,"KU","Hovedst.",2014-09-01,"Medicinsk afdeling","Intern medicin","Charlotte Kjersgaard","Almen praksis","Almen medicin",NA,"Efterår 14",2014-08-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2015v2.asp","13. apr 14:10",14,"KU","Hovedst.",2015-08-01,"Medicinsk afdeling","Intern medicin","Jacoba Egholm Hansen","Almen praksis","Almen medicin",NA,"Efterår 15",2015-08-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2012v2.asp","12. apr 09:00",139,"SDU","Hovedst.",2012-10-01,"Medicinsk afdeling","Intern medicin","Psykiatrisk Center Amager","Psykiatrisk afdeling","Psykiatri",NA,"Efterår 12",2012-08-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2017v1.asp","18. okt 12:51",81,"KU","Hovedst.",2017-03-01,"Medicinsk afdeling","Intern medicin","Lægeklinikken Vesterbrogade 35a ved Buhl, Cvetkovski og Skovbølling","Almen praksis","Almen medicin",NA,"Forår 17",2017-02-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2010v2.asp","12. apr 08:50",6,"AU","Hovedst.",2010-08-01,"Medicinsk afdeling","Intern medicin","Lisbeth Bonde","Almen praksis","Almen medicin",NA,"Efterår 10",2010-08-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2014v2.asp","7. apr 10:01",16,"KU","Hovedst.",2014-08-01,"Medicinsk afdeling","Intern medicin","Hvidovre Hospital","Gastroenheden - kirurgisk sektion","Kirurgi",NA,"Efterår 14",2014-08-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2015v1.asp","6. okt 09:00",0,"KU","Hovedst.",2015-04-01,"Medicinsk afdeling","Intern medicin","Psykiatrisk Center Amager","Psykiatrisk afdeling","Psykiatri",NA,"Forår 15",2015-02-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2012v1.asp","10. okt 14:02",35,"KU","Hovedst.",2012-03-01,"Medicinsk afdeling","Intern medicin","Susanne Lund & Morten Jensen","Almen praksis","Almen medicin",NA,"Forår 12",2012-02-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2010v2.asp","13. apr 11:50",95,"AU","Hovedst.",2010-10-01,"Medicinsk afdeling","Intern medicin","Psykiatrisk Center Amager","Psykiatrisk afdeling","Psykiatri",NA,"Efterår 10",2010-08-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2016v1.asp","8. okt 10:00",211,"KU","Hovedst.",2016-04-01,"Medicinsk afdeling","Intern medicin","Psykiatrisk Center Hvidovre","Psykiatrisk afdeling","Psykiatri",NA,"Forår 16",2016-02-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2013v1.asp","8. okt 09:22",9,"KU","Hovedst.",2013-02-01,"Medicinsk afdeling","Intern medicin","Lisbeth Bonde","Almen praksis","Almen medicin",NA,"Forår 13",2013-02-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2011v2.asp","11. apr 11:49",22,"KU","Hovedst.",2011-08-01,"Medicinsk afdeling","Intern medicin","Elsebeth Hansen","Almen praksis","Almen medicin",NA,"Efterår 11",2011-08-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2014v1.asp","8. okt 15:00",96,"KU","Hovedst.",2014-04-01,"Medicinsk afdeling","Intern medicin","Psykiatrisk Center Amager","Psykiatrisk afdeling","Psykiatri",NA,"Forår 14",2014-02-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2016v2.asp","12. apr 11:40",77,"KU","Hovedst.",2016-08-01,"Medicinsk afdeling","Intern medicin","Stig Ekkert","Almen praksis","Almen medicin",NA,"Efterår 16",2016-08-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2010v2.asp","12. apr 11:31",21,"KU","Hovedst.",2010-08-01,"Medicinsk afdeling","Intern medicin","Annette Kristjansen","Almen praksis","Almen medicin",NA,"Efterår 10",2010-08-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2017v1.asp","17. okt 12:20",3,"KU","Hovedst.",2017-03-01,"Medicinsk afdeling","Intern medicin","Lægerne Under Elmene","Almen praksis","Almen medicin",NA,"Forår 17",2017-02-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2012v1.asp","10. okt 09:09",7,"KU","Hovedst.",2012-03-01,"Medicinsk afdeling","Intern medicin","Lægerne Gammel Mønt","Almen praksis","Almen medicin",NA,"Forår 12",2012-02-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2012v1.asp","10. okt 12:41",26,"KU","Hovedst.",2012-04-01,"Medicinsk afdeling","Intern medicin","Psykiatrisk Center Amager","Psykiatrisk afdeling","Psykiatri",NA,"Forår 12",2012-02-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2013v2.asp","2. apr 13:02",7,"KU","Hovedst.",2013-08-01,"Medicinsk afdeling","Intern medicin","Bispebjerg Hospital","Ortopædkirurgisk afdeling","Ortopædisk kirurgi",NA,"Efterår 13",2013-08-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2013v2.asp","3. apr 12:51",83,"KU","Hovedst.",2013-11-01,"Medicinsk afdeling","Intern medicin","Annette Kristjansen","Almen praksis","Almen medicin",NA,"Efterår 13",2013-08-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2014v2.asp","8. apr 13:00",111,"SDU","Hovedst.",2014-10-01,"Medicinsk afdeling","Intern medicin","Psykiatrisk Center Hvidovre","Psykiatrisk afdeling","Psykiatri",NA,"Efterår 14",2014-08-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2013v1.asp","8. okt 09:16",8,"AU","Hovedst.",2013-03-01,"Medicinsk afdeling","Intern medicin","Allin-Feddersen, Jeppesen & Mazanti","Almen praksis","Almen medicin",NA,"Forår 13",2013-02-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2014v2.asp","7. apr 14:06",40,"KU","Hovedst.",2014-09-01,"Medicinsk afdeling","Intern medicin","Torsten Bacher","Almen praksis","Almen medicin",NA,"Efterår 14",2014-08-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2014v1.asp","8. okt 12:34",81,"KU","Hovedst.",2014-05-01,"Medicinsk afdeling","Intern medicin","Annette Kristjansen","Almen praksis","Almen medicin",NA,"Forår 14",2014-02-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2011v2.asp","11. apr 09:11",7,"KU","Hovedst.",2011-09-01,"Medicinsk afdeling","Intern medicin","Allin-Feddersen, Jeppesen & Mazanti","Almen praksis","Almen medicin",NA,"Efterår 11",2011-08-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2016v1.asp","6. okt 14:41",89,"KU","Hovedst.",2016-04-01,"Medicinsk afdeling","Intern medicin","Psykiatrisk Center Amager","Psykiatrisk afdeling","Psykiatri",NA,"Forår 16",2016-02-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2013v2.asp","2. apr 14:00",14,"KU","Hovedst.",2013-09-01,"Medicinsk afdeling","Intern medicin","Charlotte Kjersgaard","Almen praksis","Almen medicin",NA,"Efterår 13",2013-08-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2015v2.asp","14. apr 16:01",97,"KU","Hovedst.",2015-11-01,"Medicinsk afdeling","Intern medicin","Kristine Engell-Kofoed","Almen praksis","Almen medicin",NA,"Efterår 15",2015-08-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2015v2.asp","13. apr 18:51",39,"KU","Hovedst.",2015-09-01,"Medicinsk afdeling","Intern medicin","Allin-Feddersen, Jeppesen & Mazanti","Almen praksis","Almen medicin",NA,"Efterår 15",2015-08-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2011v2.asp","11. apr 11:50",23,"KU","Hovedst.",2011-08-01,"Medicinsk afdeling","Intern medicin","Charlotte Kjersgaard","Almen praksis","Almen medicin",NA,"Efterår 11",2011-08-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2017v1.asp","21. okt 11:50",297,"KU","Hovedst.",2017-04-01,"Medicinsk afdeling","Intern medicin","Psykiatrisk Center Amager","Psykiatrisk afdeling","Psykiatri",NA,"Forår 17",2017-02-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2010v2.asp","13. apr 11:51",95,"AU","Hovedst.",2010-10-01,"Medicinsk afdeling","Intern medicin","Psykiatrisk Center Amager","Psykiatrisk afdeling","Psykiatri",NA,"Efterår 10",2010-08-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2017v1.asp","18. okt 10:11",64,"KU","Hovedst.",2017-05-01,"Medicinsk afdeling","Intern medicin","Lægerne Tranevej 25 ved Merete Hippe & Stine Christensen","Almen praksis","Almen medicin",NA,"Forår 17",2017-02-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2011v1.asp","11. okt 15:10",42,"KU","Hovedst.",2011-02-01,"Medicinsk afdeling","Intern medicin","Charlotte Kjersgaard","Almen praksis","Almen medicin",NA,"Forår 11",2011-02-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2011v2.asp","11. apr 08:50",6,"KU","Hovedst.",2011-09-01,"Medicinsk afdeling","Intern medicin","Stig & Karin Bille Hansen","Almen praksis","Almen medicin",NA,"Efterår 11",2011-08-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2016v2.asp","12. apr 11:18",74,"KU","Hovedst.",2016-10-01,"Medicinsk afdeling","Intern medicin","Hvidovre Hospital","Ortopædkirurgisk afdeling","Ortopædisk kirurgi",NA,"Efterår 16",2016-08-01,12.620377,55.654913
